NumOfWords,NumOfChar,NumOfPunc,NumOfContPunc,NumOfContUpperCase,Bi-freq,un-freq,tri-freq,Label
9,48,0,0,0,2,2,1,1
8,58,0,0,1,8,5,9,0
12,74,0,0,0,14,8,18,1
11,60,1,0,2,4,3,3,1
14,85,2,0,1,12,7,15,1
13,87,0,0,0,4,3,3,0
8,54,0,0,0,6,4,6,0
9,69,0,0,0,8,5,9,1
13,67,0,0,0,6,4,6,1
15,94,1,0,0,6,4,6,1
9,47,0,0,0,4,3,3,0
10,65,0,0,1,8,5,9,0
15,105,0,0,0,26,14,36,1
14,86,1,0,1,6,4,6,1
12,81,1,0,0,6,4,6,0
12,72,2,0,0,8,5,9,0
11,58,1,0,0,6,4,6,0
10,72,0,0,0,8,5,9,0
16,110,0,0,1,16,9,21,1
10,67,0,0,2,6,4,6,0
13,81,1,1,1,4,3,3,0
5,46,1,0,0,1,1,1,1
9,60,1,0,1,8,5,9,0
6,38,0,0,0,4,3,3,1
8,62,0,0,0,6,4,6,1
4,19,0,0,0,1,1,1,1
11,69,0,0,1,6,4,6,1
17,103,1,0,0,14,8,18,1
13,97,2,0,1,14,8,18,1
12,77,1,0,1,6,4,6,1
15,92,0,0,1,10,6,12,1
11,80,1,0,0,8,5,9,0
15,74,0,0,1,6,4,6,0
10,61,0,0,1,8,5,9,0
10,48,0,0,0,10,6,12,1
5,22,1,0,4,1,1,1,1
9,48,0,0,1,8,5,9,0
12,71,1,1,1,10,6,12,0
11,84,1,0,1,14,8,18,1
17,101,0,0,2,10,6,12,1
11,75,0,0,0,6,4,6,0
14,83,0,0,0,8,5,9,1
10,65,2,0,2,8,5,9,1
9,60,1,0,0,8,5,9,0
15,77,0,0,0,6,4,6,1
5,39,0,0,0,6,4,6,0
11,75,1,0,0,8,5,9,1
9,60,0,0,1,8,5,9,0
11,65,0,0,0,8,5,9,0
12,63,0,0,1,8,5,9,0
8,49,1,0,0,4,3,3,1
9,60,0,0,0,6,4,6,0
7,54,0,0,0,10,6,12,1
2,14,0,0,0,2,2,1,1
9,61,1,0,0,4,3,3,1
8,56,0,0,1,4,3,3,0
10,72,1,0,2,18,10,24,1
10,67,1,0,0,8,5,9,1
11,68,0,0,0,10,6,12,0
12,99,0,0,0,10,6,12,1
14,76,0,0,0,8,5,9,1
18,118,3,0,0,14,8,18,1
14,79,1,0,2,8,5,9,1
10,74,0,0,9,4,3,3,1
12,73,3,0,1,12,7,15,1
10,68,0,0,1,10,6,12,0
10,73,0,0,1,10,6,12,1
7,36,0,0,0,2,2,1,1
14,85,2,0,2,14,8,18,1
7,48,0,0,0,8,5,9,1
6,39,0,0,0,2,2,1,1
8,48,0,0,1,6,4,6,1
9,59,1,0,1,4,3,3,0
10,62,1,0,0,8,5,9,0
13,74,1,0,0,12,7,15,0
8,39,0,0,0,4,3,3,0
10,62,0,0,0,1,1,1,0
12,82,1,0,0,8,5,9,0
12,72,1,0,0,8,5,9,1
17,114,1,0,1,18,10,24,1
11,63,2,0,0,14,8,18,0
6,38,0,0,0,2,2,1,1
10,70,0,0,0,6,4,6,0
9,58,0,0,0,8,5,9,0
17,98,0,0,0,10,6,12,1
12,75,1,0,0,12,7,15,1
15,96,0,0,0,10,6,12,1
12,72,2,0,0,8,5,9,0
12,78,1,0,0,4,3,3,0
7,30,0,0,0,4,3,3,1
11,61,0,0,1,10,6,12,0
7,44,1,0,0,4,3,3,1
13,80,2,0,1,6,4,6,1
14,78,1,0,0,10,6,12,0
12,68,0,0,0,10,6,12,0
12,75,1,0,1,10,6,12,0
16,95,1,0,2,14,8,18,1
7,54,0,0,0,10,6,12,0
10,71,1,0,0,10,6,12,0
10,61,0,0,0,8,5,9,0
10,63,1,0,0,4,3,3,0
13,71,0,0,2,10,6,12,1
10,73,1,0,0,10,6,12,0
11,80,0,0,0,6,4,6,0
16,91,4,0,0,18,10,24,1
13,77,2,0,0,4,3,3,0
7,50,0,0,0,6,4,6,0
7,44,1,0,0,2,2,1,0
11,56,0,0,0,8,5,9,0
12,65,3,0,0,8,5,9,1
3,22,0,0,0,1,1,1,1
6,50,1,0,0,6,4,6,1
10,69,0,0,0,10,6,12,0
5,28,0,0,0,4,3,3,1
10,56,1,0,0,6,4,6,1
20,130,0,0,0,12,7,15,1
15,66,0,0,0,10,6,12,1
10,57,1,0,0,4,3,3,0
12,70,0,0,0,6,4,6,0
10,63,2,0,1,4,3,3,1
36,218,1,0,0,22,12,30,1
12,66,0,0,0,4,3,3,0
13,88,0,0,0,10,6,12,1
10,68,0,0,0,10,6,12,0
11,62,0,0,0,10,6,12,1
18,88,0,0,0,8,5,9,1
8,60,0,0,0,10,6,12,0
3,16,1,0,0,4,3,3,1
12,79,1,0,1,18,10,24,1
13,66,1,0,3,10,6,12,1
18,106,2,0,1,12,7,15,1
15,88,0,0,0,12,7,15,1
6,52,0,0,0,1,1,1,0
7,52,0,0,0,6,4,6,1
14,66,0,0,1,6,4,6,0
11,68,0,0,0,8,5,9,0
16,99,3,0,0,12,7,15,1
16,103,3,0,1,16,9,21,1
11,75,0,0,0,8,5,9,0
8,62,0,0,0,6,4,6,0
10,65,0,0,0,12,7,15,1
10,55,0,0,0,6,4,6,0
8,45,0,0,0,6,4,6,1
9,64,0,0,0,10,6,12,1
9,66,0,0,0,6,4,6,1
5,30,1,0,1,8,5,9,1
13,84,1,1,1,12,7,15,0
16,109,1,0,1,12,7,15,1
8,49,0,0,0,6,4,6,1
13,75,0,0,0,4,3,3,1
18,109,1,0,1,10,6,12,1
8,57,1,0,0,6,4,6,1
10,58,0,0,1,2,2,1,0
14,97,0,0,0,14,8,18,1
10,65,1,0,1,4,3,3,1
12,97,0,0,0,10,6,12,1
20,119,1,0,0,12,7,15,1
15,93,3,0,0,12,7,15,1
12,77,0,0,0,8,5,9,0
9,72,0,0,1,8,5,9,0
12,77,1,0,0,14,8,18,0
10,67,0,0,0,8,5,9,1
19,85,1,0,1,10,6,12,0
4,23,0,0,0,2,2,1,1
6,33,0,0,0,1,1,1,1
7,48,0,0,0,14,8,18,1
13,79,0,0,1,8,5,9,1
5,32,0,0,1,2,2,1,1
12,95,2,0,0,12,7,15,1
17,96,4,1,0,6,4,6,1
10,59,0,0,1,4,3,3,1
29,153,2,0,0,24,13,33,1
8,55,1,0,0,8,5,9,0
10,70,0,0,0,10,6,12,1
17,88,1,0,2,6,4,6,1
11,67,2,1,0,6,4,6,1
9,66,0,0,0,6,4,6,1
16,93,2,0,0,14,8,18,1
12,62,1,1,2,10,6,12,0
13,74,1,0,8,18,10,24,1
14,68,0,0,1,4,3,3,1
9,59,1,0,0,4,3,3,0
8,57,2,0,1,8,5,9,0
11,55,0,0,0,10,6,12,1
11,71,0,0,0,8,5,9,1
9,69,1,0,0,6,4,6,1
13,95,2,0,1,12,7,15,1
11,57,0,0,0,6,4,6,0
13,67,0,0,0,12,7,15,1
9,53,2,0,0,6,4,6,1
12,83,1,0,0,10,6,12,1
15,85,2,0,0,8,5,9,1
6,31,1,0,0,2,2,1,1
10,73,0,0,0,8,5,9,0
10,70,1,0,0,12,7,15,0
11,57,0,0,1,14,8,18,1
20,131,1,0,0,16,9,21,1
9,47,0,0,0,2,2,1,1
12,74,0,0,0,10,6,12,0
11,64,0,0,0,12,7,15,0
12,75,0,0,0,4,3,3,0
7,79,0,0,0,16,9,21,1
9,73,0,0,0,6,4,6,0
13,83,3,1,1,8,5,9,0
14,80,0,0,0,8,5,9,1
